,place,place_geo_dict
0,Haiti,"{""Haiti"": {""latitude"": 19.1399952, ""longitude"": -72.3570972}}"
1,South Africa,"{""South Africa"": {""latitude"": -28.8166236, ""longitude"": 24.991639}}"
2,Somalia,"{""Somalia"": {""latitude"": 8.3676771, ""longitude"": 49.083416}}"
3,Uruguay,"{""Uruguay"": {""latitude"": -32.8755548, ""longitude"": -56.0201525}}"
4,Moldova,"{""Moldova"": {""latitude"": 47.2879608, ""longitude"": 28.5670941}}"
5,Guinea,"{""Guinea"": {""latitude"": 10.7226226, ""longitude"": -10.7083587}}"
6,Guatemala,"{""Guatemala"": {""latitude"": 15.5855545, ""longitude"": -90.345759}}"
7,Central African Republic,"{""Central African Republic"": {""latitude"": 7.0323598, ""longitude"": 19.9981227}}"
8,Serbia,"{""Serbia"": {""latitude"": 44.1534121, ""longitude"": 20.55144}}"
9,Macedonia,"{""Macedonia"": {""latitude"": 41.6171214, ""longitude"": 21.7168387}}"
10,Samoa,"{""Samoa"": {""latitude"": -13.7693895, ""longitude"": -172.12005}}"
11,Ukraine,"{""Ukraine"": {""latitude"": 49.4871968, ""longitude"": 31.2718321}}"
12,Brazil,"{""Brazil"": {""latitude"": -10.3333333, ""longitude"": -53.2}}"
13,Jordan,"{""Jordan"": {""latitude"": 31.1667049, ""longitude"": 36.941628}}"
14,Switzerland,"{""Switzerland"": {""latitude"": 46.7985624, ""longitude"": 8.2319736}}"
15,Laos,"{""Laos"": {""latitude"": 20.0171109, ""longitude"": 103.378253}}"
16,Republic of the Congo,"{""Republic of the Congo"": {""latitude"": -0.7264327, ""longitude"": 15.6419155}}"
17,Ireland,"{""Ireland"": {""latitude"": 52.865196, ""longitude"": -7.9794599}}"
18,Cyprus,"{""Cyprus"": {""latitude"": 34.9823018, ""longitude"": 33.1451285}}"
19,North Korea,"{""North Korea"": {""latitude"": 40.3736611, ""longitude"": 127.0870417}}"
20,Korea,"{""Korea"": {""latitude"": 36.638392, ""longitude"": 127.6961188}}"
21,Denmark,"{""Denmark"": {""latitude"": 55.670249, ""longitude"": 10.3333283}}"
22,Albania,"{""Albania"": {""latitude"": 41.000028, ""longitude"": 19.9999619}}"
23,Bolivia,"{""Bolivia"": {""latitude"": -17.0568696, ""longitude"": -64.9912286}}"
24,Liberia,"{""Liberia"": {""latitude"": 5.7499721, ""longitude"": -9.3658524}}"
25,Dominica,"{""Dominica"": {""latitude"": 19.0974031, ""longitude"": -70.3028026}}"
26,Qatar,"{""Qatar"": {""latitude"": 25.3336984, ""longitude"": 51.2295295}}"
27,Sudan,"{""Sudan"": {""latitude"": 14.5844444, ""longitude"": 29.4917691}}"
28,South Sudan,"{""South Sudan"": {""latitude"": 7.8699431, ""longitude"": 29.6667897}}"
29,Vatican,"{""Vatican"": {""latitude"": 41.903411, ""longitude"": 12.4528527}}"
30,Timor-Leste,"{""Timor-Leste"": {""latitude"": -8.7443169, ""longitude"": 126.063482}}"
31,Turkey,"{""Turkey"": {""latitude"": 38.9597594, ""longitude"": 34.9249653}}"
32,Indonesia,"{""Indonesia"": {""latitude"": -2.4833826, ""longitude"": 117.8902853}}"
33,Afghanistan,"{""Afghanistan"": {""latitude"": 33.7680065, ""longitude"": 66.2385139}}"
34,Germany,"{""Germany"": {""latitude"": 51.1638175, ""longitude"": 10.4478313}}"
35,Barbados,"{""Barbados"": {""latitude"": 13.1500331, ""longitude"": -59.5250305}}"
36,Bangladesh,"{""Bangladesh"": {""latitude"": 24.4769288, ""longitude"": 90.2934413}}"
37,Honduras,"{""Honduras"": {""latitude"": 15.2572432, ""longitude"": -86.0755145}}"
38,Canada,"{""Canada"": {""latitude"": 61.0666922, ""longitude"": -107.991707}}"
39,Bulgaria,"{""Bulgaria"": {""latitude"": 42.6073975, ""longitude"": 25.4856617}}"
40,Senegal,"{""Senegal"": {""latitude"": 14.4750607, ""longitude"": -14.4529612}}"
41,Belize,"{""Belize"": {""latitude"": 16.8259793, ""longitude"": -88.7600927}}"
42,Kuwait,"{""Kuwait"": {""latitude"": 29.2733964, ""longitude"": 47.4979476}}"
43,Tunisia,"{""Tunisia"": {""latitude"": 33.8439408, ""longitude"": 9.400138}}"
44,Ecuador,"{""Ecuador"": {""latitude"": -1.3397668, ""longitude"": -79.3666965}}"
45,Pakistan,"{""Pakistan"": {""latitude"": 30.3308401, ""longitude"": 71.247499}}"
46,Vietnam,"{""Vietnam"": {""latitude"": 15.9266657, ""longitude"": 107.9650855}}"
47,Ghana,"{""Ghana"": {""latitude"": 8.0300284, ""longitude"": -1.0800271}}"
48,Brunei,"{""Brunei"": {""latitude"": 4.4137155, ""longitude"": 114.5653908}}"
49,Dominican Republic,"{""Dominican Republic"": {""latitude"": 19.0974031, ""longitude"": -70.3028026}}"
50,Bosnia,"{""Bosnia"": {""latitude"": 44.3053476, ""longitude"": 17.5961467}}"
51,Hong Kong,"{""Hong Kong"": {""latitude"": 22.2793278, ""longitude"": 114.1628131}}"
52,Mozambique,"{""Mozambique"": {""latitude"": -19.302233, ""longitude"": 34.9144977}}"
53,Iraq,"{""Iraq"": {""latitude"": 33.0955793, ""longitude"": 44.1749775}}"
54,Domestic,"{""Domestic"": {""latitude"": 40.6117126, ""longitude"": -85.0885807}}"
55,Sri Lanka,"{""Sri Lanka"": {""latitude"": 7.877395849999999, ""longitude"": 80.66247852355892}}"
56,Slovenia,"{""Slovenia"": {""latitude"": 46.1199444, ""longitude"": 14.8153333}}"
57,Kyrgyzstan,"{""Kyrgyzstan"": {""latitude"": 41.5089324, ""longitude"": 74.724091}}"
58,Romania,"{""Romania"": {""latitude"": 45.9852129, ""longitude"": 24.6859225}}"
59,Chile,"{""Chile"": {""latitude"": -31.7613365, ""longitude"": -71.3187697}}"
60,Suriname,"{""Suriname"": {""latitude"": 4.1413025, ""longitude"": -56.0771187}}"
61,Saint Lucia,"{""Saint Lucia"": {""latitude"": 13.8250489, ""longitude"": -60.975036}}"
62,Bahamas,"{""Bahamas"": {""latitude"": 24.7736546, ""longitude"": -78.0000547}}"
63,Austria,"{""Austria"": {""latitude"": 47.59397, ""longitude"": 14.12456}}"
64,Philippines,"{""Philippines"": {""latitude"": 12.7503486, ""longitude"": 122.7312101}}"
65,Hungary,"{""Hungary"": {""latitude"": 47.1817585, ""longitude"": 19.5060937}}"
66,Czechia,"{""Czechia"": {""latitude"": 49.7439047, ""longitude"": 15.3381061}}"
67,Panama,"{""Panama"": {""latitude"": 8.559559, ""longitude"": -81.1308434}}"
68,Botswana,"{""Botswana"": {""latitude"": -23.1681782, ""longitude"": 24.5928742}}"
69,Greenland,"{""Greenland"": {""latitude"": 77.6192349, ""longitude"": -42.8125967}}"
70,Luxembourg,"{""Luxembourg"": {""latitude"": 49.8158683, ""longitude"": 6.1296751}}"
71,Saudi Arabia,"{""Saudi Arabia"": {""latitude"": 25.6242618, ""longitude"": 42.3528328}}"
72,Kenya,"{""Kenya"": {""latitude"": 1.4419683, ""longitude"": 38.4313975}}"
73,Montenegro,"{""Montenegro"": {""latitude"": 42.9868853, ""longitude"": 19.5180992}}"
74,Nepal,"{""Nepal"": {""latitude"": 28.1083929, ""longitude"": 84.0917139}}"
75,Tajikistan,"{""Tajikistan"": {""latitude"": 38.6281733, ""longitude"": 70.8156541}}"
76,Uzbekistan,"{""Uzbekistan"": {""latitude"": 41.32373, ""longitude"": 63.9528098}}"
77,Japan,"{""Japan"": {""latitude"": 36.5748441, ""longitude"": 139.2394179}}"
78,Malta,"{""Malta"": {""latitude"": 35.8885993, ""longitude"": 14.4476911}}"
79,Lithuania,"{""Lithuania"": {""latitude"": 55.3500003, ""longitude"": 23.7499997}}"
80,Spain,"{""Spain"": {""latitude"": 39.3260685, ""longitude"": -4.8379791}}"
81,Rwanda,"{""Rwanda"": {""latitude"": -1.9646631, ""longitude"": 30.0644358}}"
82,Singapore,"{""Singapore"": {""latitude"": 1.357107, ""longitude"": 103.8194992}}"
83,Fiji,"{""Fiji"": {""latitude"": -18.1239696, ""longitude"": 179.0122737}}"
84,Bhutan,"{""Bhutan"": {""latitude"": 27.549511, ""longitude"": 90.5119273}}"
85,Lebanon,"{""Lebanon"": {""latitude"": 33.8750629, ""longitude"": 35.843409}}"
86,Chad,"{""Chad"": {""latitude"": 15.6134137, ""longitude"": 19.0156172}}"
87,Estonia,"{""Estonia"": {""latitude"": 58.7523778, ""longitude"": 25.3319078}}"
88,Guyana,"{""Guyana"": {""latitude"": 4.8417097, ""longitude"": -58.6416891}}"
89,Uganda,"{""Uganda"": {""latitude"": 1.5333554, ""longitude"": 32.2166578}}"
90,Caribbean,"{""Caribbean"": {""latitude"": 18.4, ""longitude"": -75.0}}"
91,Gambia,"{""Gambia"": {""latitude"": 13.470062, ""longitude"": -15.4900464}}"
92,Colombia,"{""Colombia"": {""latitude"": 4.099917, ""longitude"": -72.9088133}}"
93,Togo,"{""Togo"": {""latitude"": 8.7800265, ""longitude"": 1.0199765}}"
94,Georgia,"{""Georgia"": {""latitude"": 32.3293809, ""longitude"": -83.1137366}}"
95,France,"{""France"": {""latitude"": 46.603354, ""longitude"": 1.8883335}}"
96,Jamaica,"{""Jamaica"": {""latitude"": 18.1850507, ""longitude"": -77.3947693}}"
97,Papua New Guinea,"{""Papua New Guinea"": {""latitude"": -5.6816069, ""longitude"": 144.2489081}}"
98,Eritrea,"{""Eritrea"": {""latitude"": 15.9500319, ""longitude"": 37.9999668}}"
99,Malaysia,"{""Malaysia"": {""latitude"": 4.5693754, ""longitude"": 102.2656823}}"
100,Burkina Faso,"{""Burkina Faso"": {""latitude"": 12.0753083, ""longitude"": -1.6880314}}"
101,Morocco,"{""Morocco"": {""latitude"": 31.1728205, ""longitude"": -7.3362482}}"
102,Micronesia,"{""Micronesia"": {""latitude"": 8.6062347, ""longitude"": 151.832744331612}}"
103,Ethiopia,"{""Ethiopia"": {""latitude"": 10.2116702, ""longitude"": 38.6521203}}"
104,New Zealand,"{""New Zealand"": {""latitude"": -41.5000831, ""longitude"": 172.8344077}}"
105,Argentina,"{""Argentina"": {""latitude"": -34.9964963, ""longitude"": -64.9672817}}"
106,United Arab Emirates,"{""United Arab Emirates"": {""latitude"": 24.0002488, ""longitude"": 53.9994829}}"
107,Trinidad and Tobago,"{""Trinidad and Tobago"": {""latitude"": 10.7466905, ""longitude"": -61.0840075}}"
108,Mauritania,"{""Mauritania"": {""latitude"": 20.2540382, ""longitude"": -9.2399263}}"
109,Palau,"{""Palau"": {""latitude"": 5.3783537, ""longitude"": 132.9102573}}"
110,United States,"{""United States"": {""latitude"": 39.7837304, ""longitude"": -100.445882}}"
111,Portugal,"{""Portugal"": {""latitude"": 39.6621648, ""longitude"": -8.1353519}}"
112,Egypt,"{""Egypt"": {""latitude"": 26.2540493, ""longitude"": 29.2675469}}"
113,Poland,"{""Poland"": {""latitude"": 52.215933, ""longitude"": 19.134422}}"
114,Mexico,"{""Mexico"": {""latitude"": 23.6585116, ""longitude"": -102.0077097}}"
115,Paraguay,"{""Paraguay"": {""latitude"": -23.3165935, ""longitude"": -58.1693445}}"
116,Italy,"{""Italy"": {""latitude"": 42.6384261, ""longitude"": 12.674297}}"
117,Australia,"{""Australia"": {""latitude"": -24.7761086, ""longitude"": 134.755}}"
118,EU,"{""EU"": {""latitude"": 50.0491699, ""longitude"": 1.4175744}}"
119,Russia,"{""Russia"": {""latitude"": 64.6863136, ""longitude"": 97.7453061}}"
120,Netherlands,"{""Netherlands"": {""latitude"": 52.2434979, ""longitude"": 5.6343227}}"
121,Sweden,"{""Sweden"": {""latitude"": 59.6749712, ""longitude"": 14.5208584}}"
122,Taiwan,"{""Taiwan"": {""latitude"": 23.9739374, ""longitude"": 120.9820179}}"
123,Israel,"{""Israel"": {""latitude"": 30.8124247, ""longitude"": 34.8594762}}"
124,India,"{""India"": {""latitude"": 22.3511148, ""longitude"": 78.6677428}}"
125,Cameroon,"{""Cameroon"": {""latitude"": 4.6125522, ""longitude"": 13.1535811}}"
126,Kazakhstan,"{""Kazakhstan"": {""latitude"": 48.1012954, ""longitude"": 66.7780818}}"
127,Croatia,"{""Croatia"": {""latitude"": 45.3658443, ""longitude"": 15.6575209}}"
128,Myanmar,"{""Myanmar"": {""latitude"": 17.1750495, ""longitude"": 95.9999652}}"
129,Bahrain,"{""Bahrain"": {""latitude"": 26.1551249, ""longitude"": 50.5344606}}"
130,Costa Rica,"{""Costa Rica"": {""latitude"": 10.2735633, ""longitude"": -84.0739102}}"
131,Thailand,"{""Thailand"": {""latitude"": 14.8971921, ""longitude"": 100.83273}}"
132,Nigeria,"{""Nigeria"": {""latitude"": 9.6000359, ""longitude"": 7.9999721}}"
133,Namibia,"{""Namibia"": {""latitude"": -23.2335499, ""longitude"": 17.3231107}}"
134,Niger,"{""Niger"": {""latitude"": 17.7356214, ""longitude"": 9.3238432}}"
135,United Kingdom,"{""United Kingdom"": {""latitude"": 54.7023545, ""longitude"": -3.2765753}}"
136,Latvia,"{""Latvia"": {""latitude"": 56.8406494, ""longitude"": 24.7537645}}"
137,Peru,"{""Peru"": {""latitude"": -6.8699697, ""longitude"": -75.0458515}}"
138,Slovakia,"{""Slovakia"": {""latitude"": 48.7411522, ""longitude"": 19.4528646}}"
139,Algeria,"{""Algeria"": {""latitude"": 28.0000272, ""longitude"": 2.9999825}}"
140,Belgium,"{""Belgium"": {""latitude"": 50.6402809, ""longitude"": 4.6667145}}"
141,Djibouti,"{""Djibouti"": {""latitude"": 11.8145966, ""longitude"": 42.8453061}}"
142,China,"{""China"": {""latitude"": 35.000074, ""longitude"": 104.999927}}"
143,Norway,"{""Norway"": {""latitude"": 61.1529386, ""longitude"": 8.7876653}}"
144,Belarus,"{""Belarus"": {""latitude"": 53.4250605, ""longitude"": 27.6971358}}"
145,Iceland,"{""Iceland"": {""latitude"": 64.9841821, ""longitude"": -18.1059013}}"
146,Azerbaijan,"{""Azerbaijan"": {""latitude"": 40.3936294, ""longitude"": 47.7872508}}"
147,Puerto Rico,"{""Puerto Rico"": {""latitude"": 18.2247706, ""longitude"": -66.4858295}}"
148,Oman,"{""Oman"": {""latitude"": 21.0000287, ""longitude"": 57.0036901}}"
149,Angola,"{""Angola"": {""latitude"": -11.8775768, ""longitude"": 17.5691241}}"
150,Greece,"{""Greece"": {""latitude"": 38.9953683, ""longitude"": 21.9877132}}"
151,El Salvador,"{""El Salvador"": {""latitude"": 13.8000382, ""longitude"": -88.9140683}}"
152,Mali,"{""Mali"": {""latitude"": 16.3700359, ""longitude"": -2.2900239}}"
153,Mongolia,"{""Mongolia"": {""latitude"": 46.8250388, ""longitude"": 103.8499736}}"
154,Maldives,"{""Maldives"": {""latitude"": 3.7203503, ""longitude"": 73.2244152}}"
155,Finland,"{""Finland"": {""latitude"": 63.2467777, ""longitude"": 25.9209164}}"
